match_id,team_name,player_name,K,hs,A,f,D,KAST,KD_diff,ADR,fk_dif,rating
78580, Defusekids, FASHR, 19, 8, 4, 0, 14, 76.2, +5, 87.9, -2, 1.29
78580, Defusekids, G1DO, 12, 1, 11, 1, 7, 76.2, +5, 80.3, 0, 1.24
78580, Defusekids, claeys, 10, 6, 5, 0, 14, 76.2, -4, 66.7, -2, 0.90
78580, Talentjes, Bowen, 20, 6, 0, 0, 16, 66.7, +4, 74.5, +3, 1.23
78580, Talentjes, yNc, 16, 11, 1, 0, 17, 47.6, -1, 88.6, +1, 1.08
78580, Talentjes, dreez, 8, 2, 3, 2, 17, 52.4, -9, 55.2, 0, 0.63
78580, Talentjes, Monu, 7, 2, 5, 1, 16, 57.1, -9, 49.3, -1, 0.60
78580, Talentjes, Bernard, 6, 2, 6, 1, 19, 47.6, -13, 59.0, -2, 0.53
78582, Defusekids, G1DO, 29, 4, 4, 2, 17, 75.9, +12, 97.1, +6, 1.49
78582, Defusekids, FASHR, 22, 8, 6, 0, 21, 82.8, +1, 85.7, -1, 1.23
78582, Defusekids, v1N, 23, 14, 4, 0, 16, 65.5, +7, 80.1, -1, 1.20
78582, Defusekids, Infernal, 18, 5, 2, 0, 20, 69.0, -2, 70.1, -7, 0.90
78582, Defusekids, claeys, 14, 7, 3, 0, 24, 65.5, -10, 53.4, 0, 0.64
78582, Talentjes, Bowen, 21, 7, 5, 1, 20, 72.4, +1, 95.1, +6, 1.32
78582, Talentjes, dreez, 25, 8, 4, 0, 20, 75.9, +5, 81.0, +3, 1.20
78582, Talentjes, yNc, 18, 11, 3, 0, 20, 86.2, -2, 66.5, +2, 1.00
78582, Talentjes, Monu, 19, 9, 6, 1, 23, 75.9, -4, 71.6, -2, 0.98
78582, Talentjes, Bernard, 15, 7, 4, 1, 23, 55.2, -8, 64.9, -6, 0.69
78576, x6tence Galaxy, BARBARR, 15, 6, 5, 0, 12, 80.0, +3, 83.8, +1, 1.22
78576, x6tence Galaxy, Plopski, 12, 8, 6, 1, 11, 70.0, +1, 71.2, +2, 1.16
78576, x6tence Galaxy, nawwk, 16, 7, 1, 1, 11, 70.0, +5, 67.2, +2, 1.16
78576, x6tence Galaxy, Bååten, 16, 8, 4, 1, 15, 80.0, +1, 90.8, 0, 1.12
